book_id,chap_num,doc_str
The Sun Also Rises,1,champion boxing title lot nothing boxing fact feeling inferiority shyness comfort anybody boy gym star pupil gentlemen featherweights matter pounds distaste boxing satisfaction sort nose year spectacles class champion frank people stories suspicion champion horse face mother something something child somebody story member father families mother school end football team one one anybody boy boy bitter boxing nose girl years children dollars father balance estate mother mould unhappiness wife mind wife miniature-painter months wife departure shock divorce people thousand time review arts review publication time angel name editorial page member board editor money authority magazine time things hand lady magazine chance hand lady magazine something lady years years spent travel friends braddocks friend tennis friend lady name frances end year looks attitude possession exploitation determination time s mother allowance dollars month years half woman people writing novel novel critics novel books bridge tennis gymnasium lady attitude night l s coffee _fines_ coffee weekend trip town walk “ girl town ” somebody table “ years everything town swell girl ” table s lady lifting face hardening “ good-night paper corner “ sake ” girl t frances ” “ girl hell ” t difference girl t “ t frances girl t way ” “ ” t get sore ” “ place hike woods home ” ” courts ” café “ paper ” “ so. ” kiosque corner “ ” paper hand “ “ tennis ” café paper life
The Sun Also Rises,2,winter novel publisher row frances women publishers head women horizons years horizon wife years years frances love life rebound time college frances rebound discovery everything wife love quantity women fact woman divine miracle stakes bridge games connections cards dollars vain bridge game times man living bridge thing occupation book life adventures gentleman land scenery man guide-book life man age convent set books word report reservations book sound extent day office “ “ ” “ ” “ “ t “ “ boat train week ’ mail stories half “ dirt ” none connections divorces ” expenses “ fun “ town summer-time ” life trip “ t fool ” plenty money ” “ get ” “ countries pictures ” sorry “ life “ nobody life way bull-fighters ” “ bull-fighters life country trip “ ” “ t “ t interest “ s book book love affairs princesses ” “ ” streak down-stairs drink ” t ” “ stairs café ground floor way friends drink “ cables ” exits newspaper business part ethics down-stairs bar whiskey soda cohn bottles bins wall “ place ” “ lot liquor ” “ bar t feeling life advantage ve time ” while “ years ” hell hell “ ” thing t worry ” “ “ ve plenty time ” ” “ country t difference place s nothing “ ” “ hell way town don ’ t life ” “ sick sick cruise “ nothing night nothing bicycle cop papers town nice night ” “ t care ” thing anything stubbornnesses idea book book cables ” “ ” cables ” “ office ” “ ” outer room papers hours carbons stuff couple manila envelopes rang boy room asleep chair head arms office hand shoulder head “ head deeper arms “ nothing “ shoulder “ loud ” t ” “ dream ” “ typewriter ” sleep night ” matter ” “ ” habit bedroom scenes friends _apéritif_ evening crowd
The Sun Also Rises,3,spring night table terrace signs crowd clippety-clopping edge taxi traffic _poules_ pairs evening meal girl walk table street sight eye table waiter ” ” “ girls ” girl dites pernod ” pernod matter “ party ” t “ t town ” ” don ’ t ” t “ right “ hell ” imitation absinthe water milky licorice uplift girl sullen dinner ” point mouth girl saucers street driver curb _fiacre_ doors shops windows cab bureau window clocks clocks hour ” t traffic gate arm hand hand “ mind matter ” ” “ everybody sick sick light “ t pernod sick ” “ ” t difference t difference woman ” ” ” ” “ name ” “ ” “ ” flamands ” time restaurant _cocher_ looks place “ thing restaurant ” “ “ s don ’ t cab ” idea time _poule_ restaurant desk room georgette food t t chic food ” “ ” bottle wine joke teeth glasses “ type shame sick matter ” “ war ” “ war ” war reality calamity civilization room “ barnes barnes ” friend table party people “ dance t dance ” “ dancings “ end table smile “ course ” coffee ” “ friend laughing graces thanks ” room “ friends “ writers artists ” “ lots side river ” “ money ” “ meal wine ” “ coffee others bag passes face mirror lips lipstick hat room people men table “ fiancée smile hands round “ singer pas “ name “ “ name ” “ excitement idea “ fool “ joke “ laugh ” “ table barnes fiancée name ” “ course time “ “ “ “ ” frances smiling hands head neck lips “ t dirty ” “ cities ” “ ” ” “ “ people “ friends ” frances drunk coffee liqueurs dancing-club dancing-club musette_ nights week people quarter night week dancing-club nights policeman door wife proprietor zinc bar proprietor daughter house benches tables room dancing-floor “ people daughter proprietor stool accordion string bells ankles time foot floor perspiring box ” hot “ ” “ hat “ idea bar accordion music night beer doorway breath wind street taxis street front crowd men jerseys shirt-sleeves hands hair light door policeman standing door light hands hair “ harlot dark “ t ” blond t ” anything composure street beer bar beer cognac taste mouth crowd floor blond youth head side eyes music dance table frances somebody way novelist sort accent drink “ ” daughter house à l eau_ “ ” “ ” ” “ ” drunk sense “ sake ” t “ “ faculty ” dancing-floor t “ s child “ t cross “ ” fiancée success floor arms tall ’ t “ cohn “ ” bar matter something ” “ nothing show bar “ ” “ aren ” “ chap brandy soda ” glass deal compatriot land course look eager expectation good-looking slipover jersey sweater tweed skirt hair boy ’ s curves hull racing yacht none wool jersey crowd dear “ ” “ evening ” “ priceless ” insult look ” benefit s restraint trade “ t ’ s crowd safety music “ ” “ ve “ hell name ” ” “ “ date s shoulder bar “ ve ” t talk chap ” “ “ ” talk fool ” “ “ “ accordion banjo ” “ t “ ” “ ” “ ” “ ” care ” “ “ t floor coat hanger wall stood bar bar envelope patronne note pocket envelope patronne “ girl asks ” “ gentlemen entendu patronne “ ” door night arm night street taxi “ francs “ taxis ” “ drink pub door send “ t walk street bar waiter taxi zinc bar waiter taxi hand waiter franc “ ” “ ” driver door corner eyes cab jerk “
The Sun Also Rises,4,taxi hill square dark street du asphalt trees bus cobbles bars shops side street street head face lights shops face street men car-tracks light flares face line neck light flares street lips corner seat head t touch don t touch matter ” “ stand “ ” “ t stand s understand ” t “ t anything arm eyes way eyes eyes world nothing earth things “ thing “ t “ t hell “ “ “ “ fault things ” eyes time eyes depths way “ hell put chaps ” talk fool ” “ “ lay t ” “ t friend brother ’ s home way hell joke anything “ “ nobody anything ” subject time angles one injuries imperfections subject merriment person funny ” lot fun love ” “ eyes “ mean fun way way feeling ” “ “ hell earth ” t ” “ strangers right restaurant pool trout park dark driver head “ ” head “ ” ” driver passing trams lights sight “ something ” “ ” taxi hat hand hand “ mess man bar bar tables crowd dance “ “ drink ” “ portrait-painter duke everybody “ something “ “ friend man “ friend ” ladyship time ” elk ’ tooth watch-chain “ town right count “ doings ” “ ” braddocks table “ drink girl yours row ” “ patronne s daughter corking row card patronne s daughter row ” “ home girl command idiom stay drink ” “ “ ” “ home frances chap “ “ ” night ” night bar count champagne “ glass wine thanks “ “ headache ” “ ” office ” “ o clock ” “ side town ” ” t worry “ ” ” to-day ” night sir count sidewalk tables street tables edge pavement table home s tight tables standing chestnut-trees arc-light purple wreath base inscription date sword horse-chestnut leaves street way light concierge s room door mail night up-stairs letters papers gas-light dining-room letters bank statement balance check-book checks month balance back statement letter wedding announcement marriage daughter girl man town name anybody name name crest announcement duke count count title lamp bed gas windows bed windows windows bed night train street-car tracks vegetables markets night undressing mirror armoire bed way room ways pajamas bed papers wrappers orange yellow news paper way lamp head grievance way joke front hospital society name others building statue liaison colonel thing speech “ foreigner foreigner “ speech office place mala fortuna ” trouble people trouble t t people way people way advice advice thinking mind rest mind sort waves while bed trams way street row outside voice door concierge name stairs “ concierge “ species woman s street kind dirty business time night asleep ” voice t address “ ” stairs thing “ row t asleep ” t know time clock “ idea hour “ sit t cross count brandy soda glasses “ t try count “ count ” “ deserves anyhow hell amount people t chain sweetshops glass chain interesting doubt drink t mind s “ duke ” “ t wonder painter count “ ” “ dollars pounds ” “ thousand ” money t people ” “ brandy soda drink “ “ people people people hand table glass look “ love true look wants night ” “ “ ” “ ” “ idea car street count ” “ chauffeur livery hampers s bottles tempt “ morning ” “ fun ” t ass ” “ tender message ” “ night ” t ” “ night “ night ” “ t ” stairs cordon concierge something door window street limousine drawn curb table glass glass half-full brandy soda kitchen glass sink gas dining-room slippers bed bed street car course hell everything daytime night thing
The Sun Also Rises,5,morning rue coffee brioche morning trees gardens bloom feeling day papers coffee cigarette flower-women market stock students law school trams people bus platform office man jumping frogs man boxer toys thread girl assistant boxers thread hands man tourists tourists man roller name sidewalk letters people avenue office up-stairs office morning papers typewriter morning ’ s work clock d taxi dozen correspondents mouthpiece diplomat spectacles questions hour speech way people questions talk couple questions news service men answers news taxi d nights ” “ ” “ “ night place isn t dive ” “ meant “ wife kids ” tennis “ t year courts beggars day agency ll plenty time country “ thing country car ” “ car year ” glass chauffeur “ street drink ” man head “ line morning ” piece hand “ crazy “ office good-by head “ lunch ” “ office elevator “ ” anything ” “ ” “ ” desk “ ” s hors œuvres ” restaurant hors œuvres beer beer tall outside steins cold dozen dishes hors œuvres “ fun night ” t ” book “ everybody “ sure ” “ don ’ t ” frances ” “ t sort thing lot people ” “ “ t obligations ” cucumbers herring ” name s name girl ” “ divorce ” “ woman ” ’ t ” “ quality fineness ” “ ” “ t quality “ breeding ” “ “ t wonder love “ drunk ” “ s love hell day ” “ t ” “ “ t t time ” “ a. hospital war ” “ kid “ ” “ ” “ war love dysentery ” “ sort bitter ” “ t mean facts ” “ t anybody t love ” “ “ t t lot questions t answers ” “ t ask “ ” “ t ask “ table face plates hors œuvres “ ” t fool ” “ ” “ stuff ” “ ” anything heard s “ don ’ t lunch ” hell t “ things ” “ sorry tongue things ” “ “ friend ” help “ loud “ sorry right fine minute ” something lunch coffee thing office
The Sun Also Rises,6,o clock letters letters stationery quarter bar barman bar way taxi string barges bargemen sweeps bridge river bridges taxi statue inventor semaphore part ride pass riding stretch association ideas places journey streets street something way incapacity men likes dislikes taxi front matter taxi-driver bank river years tables people bar pile saucers front shave “ matter ” “ nothing races ” ” “ nothing nothing ” matter ” “ t m eye “ something ” ” “ t anything days ” mind days francs poker dice matter ” “ money hasn t come “ strange m room m cat ” pocket “ help ” ” go eat ” “ hurry drink ” eat ” t care drink saucer pile “ ” ” ” “ right things time trouble ’ garter snapper. ’ ” “ ” “ “ things s things t “ right “ ” “ nobody people ” “ thing while “ port ” “ street “ moron cohn table “ “ “ moron ” ” “ think anything t think “ t ” “ head matter ” “ t “ football ” “ “ moron case development ” “ day somebody face ” “ t t difference fighter ” “ difference anybody “ t mistake “ t difference mean anything “ porto ” “ “ street eat ” street street taxis traffic “ sore “ stand ” “ ” “ fond t ” “ “ nerves afternoon ” t harder book time sort conceit spring work longings adventure sureness reason love remark way people tennis-court body shape cards bridge sort quality crowd nothing stood shirts school clothes women sort cheerfulness tennis instance hand love tennis game pieces people chance terrace street “ date ” time ” frances ” “ ” frances street girl deal movement street “ m “ “ hello “ ve time ” head didn home lunch ” “ t “ t anything cook date myself t office course t money lunch ” “ course. sort imitation manner “ appointments nowadays ” ” “ girl dance “ t nothing stay t ” table boy matter ” “ nothing ” “ one mother t matter ” “ s t ” “ t marry t course t t anything years divorce ” nothing scenes s scenes luck “ luck years half t man years anybody ones somebody t anybody anybody “ t fond d children d children ” “ children t d “ children ” “ children money mother book nobody stuff nobody t t money alimony divorce way t right fault cries marry t wife t shame ” shame use café ” “ course ’ anything t time manner “ book lot chickens “ t t think s way ” “ t t triumph fall “ café ” ” table—they drink—and street table frances ” “ secrets ” “ isn everybody version ” ” t ” way families s pounds friends friends t ” “ pounds weren t t ” people things people things feeling world eyes things right impulse joking later things frances friends friends didn t ll right dear time mother mother money war bonds person world ‘ ’ ‘ dear experience. ” smile audience “ fault right fault secretary magazine way doesn t ” “ frances sake ” secretary magazine thing world magazine t fare coast t “ t misunderstand secretary nothing sword sword t book “ material book t s t film time book anything material something “ dear something t mind t scenes ladies t scenes person s conversations way try s literature sacrifices literature look protest literature writers writer thirty-four writer look look doesn t think friends t writer material mistresses t something. ” hand lips “ reason t marry vision day tablet s s mistress t marry mistress years end romance bright ” “ minute ” cohn face bar window frances face time “ ” something barman anything side door door thicknesses glass street taxi driver address
The Sun Also Rises,7,stairs concierge glass door lodge letters telegram “ post lady “ card ” gentleman one night end ” “ friend mine ” “ t night little— ” head hand “ speak night night idea gentille family thing word ” hour ” lady lady une une ” concierge concierge concession race-courses lay pelouse eye people pesage pride guests family sportsmen word accent men trouble people categories one home friends painter family sportsman letter pass concierge evenings concierge wire cable _france_ mail table bedroom shower pull bathrobe slippers door her count bunch roses “ darling t ” ” t man ” “ shower ” “ t flowers sir count liberty roses ” “ “ water earthenware jug water kitchen roses centre dining-room table “ day ” “ anything date ” “ count t count brick “ s drag concierge ” “ francs ” t fool ” count “ something night “ wonderful “ everything s ” “ dear ” “ d drink ” “ dress ” “ glasses siphon bed room glass hand bed matter ” forehead “ “ ” ” “ ” “ t ” ” “ t mad room bed time bed darling. head ” face champagne champagne ” head ” quiet side town ” ” “ t everybody t “ ” “ fault way t country while ” t t country love ” “ t use telling “ s bilge ” ” “ “ ” “ t ” hell idea “ “ t ” “ “ fool ” shoes bed look ” ” “ don ’ t fool ” ” t ” drink count ” champagne amount ” dining-room brandy bottle drink ring bell-pull door count chauffeur basket champagne “ ” count “ kitchen “ count “ ice. ” basket kitchen door “ wine ” “ t chance wine friend mine s business ” “ trade “ fellow grapes thousands acres name ” ” “ count baron ” titles ’ t title ” “ count hand arm man time money ” “ t “ “ t ve hell amount credit mine ” “ count ” stick ” count table gas-light cigarette ashes rug “ t rugs chap ash-tray ” ash-trays chauffeur bucket ice bottles count “ ” car. ” “ dinner ” “ “ t thing ” “ meal count “ wine ” chauffeur count pigskin cigar-case “ cigar ” “ cigarette ” end cigar gold cutter end watch-chain “ cigar count cigars t draw cigar puffed table “ t title ” pity ” “ count “ t title class decent “ count cloud smoke “ class anybody t letter ” “ count “ people people enemies “ “ people friend world “ t ” “ “ ” count “ ” corners eyes “ “ t ” “ count “ t ” “ hell talk champagne ” count bottles bucket t cold drinking dear don ’ t ” “ ” “ dear sentences “ em finish “ system count bottles twirl “ time t fool count bottle “ ” towel bottle “ champagne magnums wine bottle glasses “ dear champagne “ glass something ‘ s royalty ” “ wine toast-drinking dear t emotions wine taste ” glass “ book wines count ” barnes count wines glass forward count “ dear ” ” dear ” man barnes count glass “ lady charming “ t dear deal ” wine “ dear lot think t sir lot “ course “ ” “ wars revolutions count “ “ dear wounds arrow wounds ” look count vest shirt undershirt chest stood stomach muscles light “ line ribs welts “ back back scars finger “ something ” ” count shirt “ “ years ” “ army ” “ business trip dear ” “ t “ count darling ” “ dear t ” t ass ” “ everything t ” “ count “ values ” t anything values “ fall love ” “ count “ love ” values ” “ place values ” “ t values s “ dear bottles champagne count basket kitchen restaurant dinner place count s values wine count form meal party “ ” count dinner people restaurant waiters door home “ hill t party ” count “ people ” cigar don ’ t ” lives ” “ careers “ brandy count “ hill ” ” “ men ” count “ dear ” count sir ” brandy ” “ sir ” “ bottle “ t ” “ dear value money brandy antiquities ” antiquities ” “ houseful ” smoky music hit nigger drummer jam place front “ ” teeth lips “ friend mine “ drummer ” music table count music count table cigar music go ” table music tight crowd “ dancer dancer “ splendid ” “ points ” “ ” “ fond ” “ t week ” t ” letters ” “ bet “ letters “ ” divorce mother “ t ass people loads money ” music table count ” “ ” count ” ” “ dear “ “ dance time friend ” boy t ” “ “ boy s future t ” “ way “ willys ” count shoulders “ future anyhow father friend father ” dance “ darling m ” feeling something “ minute ” drummer “ time— ” matter ” “ t “ drummer sticks “ ” feeling nightmare something something “ drummer sang “ t mind “ drummer crowd dressing-room count “ fine car while ” hands “ time ” “ ” note pocket barnes don ’ t count wrap count hand shoulder door girls table car chauffeur address hotel “ t hotel rung door “ ” ” night “ sorry ” night night t door “ don t ” hotel chauffeur francs cap “ night sir bell door bed
The Sun Also Rises,8,card picture “ chaps ” frances note country couple weeks fishing-trip winter bankers s troubles tennis plenty work races friends time office things charge secretary end couple days season crop light heavyweights prospect weight lot money book lot time weeks fishing fiesta card wire “ ” evening taxi stop window bags stairs bags trip “ ” ” “ ” ” glasses siphon “ “ strange drink ” forehead thing ” t ” “ ” days days ” “ ” remember “ anything ” “ ” “ remember anything drink “ “ something prize-fight prize-fight nigger nigger ” nigger times everybody things d boy nigger glove speech nigger speech boy boy cold everybody chairs home car t clothes coat thing sporting evening ” ” “ nigger clothes money nigger money account hall “ t “ fellow think man music ” d ” “ boy stay nigger contract boy nigger t nothing forty minutes try boy musta ’ ” “ money ” “ money s clothes somebody watch nigger mistake nigger ” “ lives family letter money nigger hope right address ” “ eat “ stories ” ” eat ” down-stairs evening “ ” “ island ” ” juncture statue men robes “ monument pharmacy t try ” “ taxidermist s “ anything dog ” ” “ ” dogs “ ” “ stuffed dog em em stuffed dog ” ” everything world exchange values money dog ” “ way ” right way road dogs fault ” d way dogs ” “ way dogs always lover animals ” drink “ times ” “ “ success ” “ ” “ couple man secret success “ pernods ” “ m cat way “ ” “ t eaten days cat ” “ right “ cat makes ” ll ” t difference eggs eggs t way island “ meal ” “ suggestion “ ” ” horse-cab “ horse-cab stuffed friends animals ” taxi driver taxi curb lady ” “ ” “ m t ” eat ” “ “ rot ” “ bathe get drink ” “ rot ” taxi driver bistro ” “ “ brandies ” ” “ city ” “ to-day ” ” ” ” “ city corners eyes “ moment ” “ start ” terraces whiskey soda pernod ” “ ve time “ fool ass ” “ time ” “ right ” anybody ” “ anybody t ” t thing ” corners eyes “ way ” “ everything ” “ friend ” “ right “ taxidermist ” “ country “ animals ” waiter taxi ” “ line front ” drink taxi “ ” “ taxi girl “ s s ” man “ stage anybody ll couple race-horses ” “ eat ” “ something taxi way “ stud-book everything ” dinner s restaurant side island place list quaint restaurant quais minutes table restaurant armistice fuss t table woman meal roast chicken beans potatoes salad “ world right hand “ ” “ ” “ ” coffee _fine_ bill slate quaint ” features hands “ compatriots ” lunch-time trees river d side island river walls houses “ street ” “ island river bateau mouche lights sight bridge river night sky bank foot-bridge bridge river bridge island dark houses sky trees shadows “ ” rail bridge river lights bridges water sound piles bridge man girl arms bridge walking way shone leaves trees square trees bus ready door window zinc bar terrace people kitchen girl potato-chips oil iron pot stew girl plate man bottle wine hand “ drink ” “ “ t right streets houses sides houses street others du north south courtyard iron fence du “ café ” “ s cafés s street lights tables tables hel-lo lad ” “ ” “ nothing walk day day mother tea ” bar stool legs stockings “ isn t ” patch blood bridge nose lady s bags “ bar cigarette-holder corners eyes lady bags piece lady ” “ hat hat “ money “ t host ” “ drunkard bankrupt ” t ex-partner yesterday ” ” “ drink piece beautiful ” nose ” point piece ” t man ” “ turn ” t ladies bar ’ t piece ” “ to-night “ ” “ ” somebody “ “ d —he effort “ go date thing hat felt eye “ fight ” “ piece fight outbursts affection ” “ piece night “ sorry t door hand bar corners eyes pavement “ fight ” t “ girl friend taxi blame hell lot ”
The Sun Also Rises,9,fight night fight morning fight letter time golf bridge beach fishing-trip line morning office bus mountains evening o clock bar “ darling. hand “ “ night ” t business ” “ “ ” “ t mind mad sure t nuisance ” talk fool ” “ t ask t sure t mind ” “ man mind ask “ t mind t ask morning ” “ way “ people “ chap ” “ chap “ “ “ night t morning ” “ ” “ money sure t mind “ right see “ ” rods reels lines flies ” “ t fish rods t “ wire keeper ” “ “ ” “ “ barber s ” “ “ hotel chap ” “ hotel “ brothel ” “ bags hotel room afternoon night ” brothel “ _i_ “ hair cut bar “ ” “ ” “ “ t ” ” “ trip ” ” bit ” “ ” ” “ t ” corner “ dull ” “ “ ” “ service t ” “ t ” t “ “ t “ ” “ ” “ “ chance night “ ” “ keen ” “ “ wait “ ” “ wonderful ” t money day train mountains fishing bus itinerary morning train d day country start diner breakfast dining-car conductor tickets service fifth ” ” servings lunch train plenty places “ dining-car conductor “ service ” “ “ francs ” “ service conductor francs pocket “ gentlemen sandwiches places services office company ” “ way brother “ francs train ” _comment ” ” “ sandwiches bottle wine ” “ car. ” compartment man wife son “ t man “ trip ” “ “ while “ years wife ‘ ’ deal way ” “ plenty train husband “ cars pilgrimage ” “ pilgrims part ” “ s ” “ ” fishing ” plenty fishing boys ” fishing trips wife “ ladies jug case beer hell damnation ” “ way men wife lap “ prohibition beer house way wonder “ gang fathers dining-car afternoon ” thing “ seats ” mother breakfast ” dress “ eye things ” wagon restaurant while steward service pilgrims priests corridor friend family waiter corridor sandwiches bottle “ head “ ” “ ” ” glasses bottle sandwiches “ plates ” sandwiches country window grain fields poppies pastureland trees rivers trees bottle wine compartment gentleman wife son “ swimming ” “ s water mother youngsters ” “ s swimming ” “ rough ” “ meal party waiters something ” snappers right man “ power pity t meal right “ “ quarter lunch priest streams pilgrims “ chance ” “ t anything t tickets ” man priest dining-car waiters table d hôte meal waiter jacket arms “ lot wine ” “ undershirts ” ask ” ” train hour station walk time town sun set cut pines avenues hills way seven-thirty dinner country window diner country heather clearings houses while sawmill country outside window clock man wife hands lots luck ” bull-fights ” see bags rod-cases station lights line cabs hotel buses hotel runners “ trip ” ” “ ” “ cab. ” “ hotel right ” cab cabman bags seat whip dark bridge town “ “ heard books line ” cab front hotel hotel people desk room
